frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,box_width,box_height,box_area
18,1,person,0.8997,120.17,927.38,270.19,1299.71,195.18,1113.55,150.02,372.34,55858.73
18,2,person,0.8993,525.05,525.44,675.62,852.13,600.34,688.79,150.57,326.69,49189.11
18,3,person,0.8932,701.49,1530.09,893.43,1920.0,797.46,1725.04,191.94,389.91,74839.18
18,4,person,0.8786,659.71,354.73,797.34,689.68,728.53,522.2,137.64,334.95,46101.22
18,5,person,0.8783,760.42,1080.79,898.13,1403.37,829.27,1242.08,137.71,322.58,44421.94
18,6,person,0.8773,0.44,931.15,111.11,1312.66,55.77,1121.9,110.68,381.51,42224.35
18,7,person,0.8779,168.81,288.28,284.33,585.31,226.57,436.79,115.53,297.02,34314.23
18,8,person,0.844,872.62,1000.02,1026.9,1340.37,949.76,1170.19,154.28,340.36,52510.09
18,9,person,0.8503,586.46,118.53,704.27,382.93,645.36,250.73,117.81,264.4,31148.42
18,10,person,0.8408,221.32,36.57,318.09,291.33,269.71,163.95,96.77,254.76,24653.18
18,11,person,0.8297,549.42,1597.99,714.93,1920.0,632.18,1759.0,165.51,322.01,53296.48
18,12,person,0.8662,765.4,358.71,861.76,600.06,813.58,479.38,96.36,241.35,23257.04
18,13,person,0.8449,31.15,0.13,109.98,243.65,70.56,121.89,78.84,243.53,19199.21
18,16,person,0.8347,0.82,613.77,96.73,961.83,48.78,787.8,95.91,348.05,33381.43
19,1,person,0.9026,120.44,931.08,271.41,1301.46,195.92,1116.27,150.97,370.39,55917.2
19,2,person,0.8987,527.08,527.22,679.04,852.93,603.06,690.07,151.96,325.71,49494.43
19,3,person,0.8811,708.19,1535.48,899.3,1920.0,803.74,1727.74,191.11,384.52,73487.66
19,4,person,0.88,662.15,356.78,798.02,690.23,730.09,523.5,135.87,333.45,45305.09
19,5,person,0.8713,762.94,1087.27,901.3,1416.36,832.12,1251.82,138.36,329.08,45532.3
19,6,person,0.8875,0.46,936.51,108.02,1313.19,54.24,1124.85,107.56,376.68,40515.7
19,7,person,0.8732,168.55,292.77,283.72,591.59,226.13,442.18,115.16,298.82,34412.81
19,8,person,0.8385,876.7,1007.27,1031.07,1356.4,953.89,1181.84,154.37,349.13,53893.32
19,9,person,0.8374,587.63,122.59,706.14,389.16,646.89,255.88,118.51,266.57,31590.93
